lon,lat,City,城镇,城鎮
102.7,25.05,Kunming,昆明,昆明
103.68,36.05,Lanzhou,兰州,蘭州
91.1,29.65,Lasa,拉萨,拉薩
9.45,0.39,Libreville,里斯本,利伯維爾
33.8,-13.97,Lilongwe,利隆圭,利隆圭
-77.05,-12.07,Lima,利马,利馬
-9.14,38.72,Lisbon,里斯本,裏斯本
14.51,46.06,Ljubljana,卢布尔雅那,盧布爾雅那
1.35,6.17,Lome,洛美,洛美
-0.1,51.52,London,伦敦,倫敦
15.61,78.21,Longyearbyen,朗伊尔城,朗伊爾城
13.24,-8.82,Luanda,罗安达,羅安達
28.29,-15.42,Lusaka,卢萨卡,盧薩卡
6.12,49.62,Luxemburg,卢森堡,盧森堡
-3.71,40.42,Madrid,马德里,馬德裏
8.79,3.74,Malabo,马拉博,馬拉博
73.5,4.17,Male,马累,馬累
-86.27,12.15,Managua,马那瓜,馬那瓜
50.58,26.21,Manama,麦纳麦,麥納麥
120.97,14.62,Manila,马尼拉,馬尼拉
32.57,-25.95,Maputo,马普托,馬普托
27.49,-29.31,Maseru,马塞卢,馬塞盧
-176.13,-13.28,Mata'utu,马塔乌图,馬塔烏圖
31.14,-26.32,Mbabane,姆巴巴内,姆巴巴內
-99.14,19.43,Mexico City,墨西哥城,墨西哥城
27.55,53.91,Minsk,明斯克,明斯克
45.33,2.05,Mogadishu,摩加迪沙,摩加迪沙
7.42,43.74,Monaco-Ville,摩纳哥维尔,摩納哥維爾
-10.8,6.31,Monrovia,蒙罗维亚,蒙羅維亞
-56.17,-34.87,Montevideo,蒙得维的亚,蒙得維的亞
43.23,-11.74,Moroni,莫罗尼,莫羅尼
37.62,55.75,Moscow,莫斯科,莫斯科
58.54,23.61,Muscat,马斯喀特,馬斯喀特
15.05,12.11,N'Djamena,恩贾梅纳,恩賈梅納
36.82,-1.29,Nairobi,内罗毕,內羅畢
115.88,28.68,Nanchang,南昌,南昌
118.78,32.05,Nanjing,南京,南京
108.32,22.82,Nanning,南宁,南寧
-77.33,25.06,Nassau,拿骚,拿騷
77.22,28.6,Ni Dilli,尼迪利,尼迪利
2.12,13.52,Niamey,尼亚美,尼亞美
33.38,35.16,Nicosia,尼科西亚,尼科西亞
33.38,35.16,Nicosia,尼科西亚,尼科西亞
33.37,35.18,Nicosia,尼科西亚,尼科西亞
33.37,35.18,Nicosia,尼科西亚,尼科西亞
-15.98,18.09,Nouakchott,努瓦克肖特,努瓦克肖特
166.44,-22.27,Noumea,努美阿,努美阿
-175.22,-21.14,Nuku'alofa,努库阿洛法,努庫阿洛法
-51.73,64.18,Nuuk,努克,努克
-70.03,12.53,Oranjestad,奥兰杰斯塔德,奧蘭傑斯塔德
10.75,59.91,Oslo,奥斯陆,奧斯陸
-75.71,45.42,Ottawa,渥太华,渥太華
-1.53,12.37,Ouagadougou,瓦加杜古,瓦加杜古
-170.72,-14.24,Pago Pago,帕戈帕戈,帕戈帕戈
158.16,6.92,Palikir,帕利基尔,帕利基爾
-79.53,8.97,Panama,巴拿马,巴拿馬
-149.56,-17.52,Papeete,帕皮埃特,帕皮埃特
-55.2,5.85,Paramaribo,帕拉马里博,帕拉馬裏博
2.34,48.86,Paris,巴黎,巴黎
104.92,11.57,Phnum Penh,金边,金邊
57.51,-20.17,Port Louis,路易斯港,路易斯港
147.18,-9.48,Port Moresby,莫尔兹比港,莫爾茲比港
-57.82,-51.7,Port Stanley,斯坦利港,斯坦利港
-61.51,10.66,Port of Spain,西班牙港,西班牙港
-72.34,18.54,Port-au-Prince,太子港,太子港
2.63,6.48,Porto Novo,诺沃港,諾沃港
14.43,50.08,Prague,布拉格,布拉格
-23.54,14.93,Praia,普拉亚,普拉亞
28.22,-25.73,Pretoria,比勒陀利亚,比勒陀利亞
125.75,39.02,Pyongyang,平壤,平壤
-78.5,-0.19,Quito,基多,基多
-6.84,34.02,Rabat,拉巴特,拉巴特
96.15,16.79,Rangoon,仰光,仰光
-21.92,64.14,Reykjavik,雷克雅未克,雷克雅未克
24.13,56.97,Riga,里加,裏加
171.06,7.12,Rita,丽塔,麗塔
46.77,24.65,Riyadh,利雅得,利雅得
-64.63,18.43,Road Town,罗德城,羅德城
12.5,41.89,Rome,罗马,羅馬
-61.39,15.3,Roseau,罗索,羅索
-61.74,12.06,Saint George's,圣乔治,聖喬治
-2.11,49.19,Saint Helier,圣赫利埃,聖赫利埃
-61.85,17.11,Saint John's,圣约翰,聖約翰
-2.55,49.47,Saint Peter Port,圣彼得港,聖彼得港
55.46,-20.87,Saint-Denis,圣丹尼斯,聖丹尼斯
-56.18,46.79,Saint-Pierre,圣皮埃尔,聖皮埃爾
-85.13,10.97,San Jose,圣何塞,聖何塞
-84.08,9.93,San Jose,圣何塞,聖何塞
-66.13,18.44,San Juan,圣胡安,聖胡安
12.43,43.94,San Marino,圣马力诺,聖馬力諾
-89.19,13.69,San Salvador,圣萨尔瓦多,聖薩爾瓦多
44.21,15.38,San'a,沙那,沙那
-70.64,-33.46,Santiago,圣地亚哥,聖地亞哥
-69.91,18.48,Santo Domingo,圣多明各,聖多明各
6.73,0.37,Sao Tome,圣多美,聖多美
18.38,43.85,Sarajevo,萨拉热窝,薩拉熱窩
121.47,31.23,Shanghai,上海,上海
123.45,41.8,Shenyang,沈阳市,沈陽市
114.48,38.05,Shijiazhuang,石家庄市,石家莊市
103.85,1.3,Singapore,新加坡,新加坡
21.47,42,Skopje,斯科普里,斯科普裏
23.31,42.69,Sofia,索菲亚,索菲亞
126.99,37.56,Seoul,首尔,首爾
18.07,59.33,Stockholm,斯德哥尔摩,斯德哥爾摩
-65.26,-19.06,Sucre,苏克雷,蘇克雷
145.7,15.14,Susupe,苏苏佩,蘇蘇佩
121.45,25.02,Taipei,台北市,臺北市
112.55,37.87,Taiyuan,太原市,太原市
24.74,59.44,Tallinn,塔林,塔林
101.18,3.42,Tanjong Karang,丹戎加弄,丹戎加弄
69.3,41.31,Tashkent,塔什干,塔什幹
44.79,41.72,Tbilisi,第比利斯,第比利斯
-87.22,14.09,Tegucigalpa,特古西加尔巴,特古西加爾巴
51.43,35.67,Tehran,德黑兰,德黑蘭
-63.05,18.22,The Valley,瓦利,瓦利
89.7,27.48,Thimphu,廷布,廷布
117.2,39.13,Tianjin,天津市,天津市
19.82,41.33,Tirana,地拉那,地拉那
139.77,35.67,Tokyo,东京,東京
-6.8,62.03,Torshavn,托尔斯港,托爾斯港
13.18,32.87,Tripoli,的黎波里,的黎波裏
10.22,36.84,Tunis,突尼斯,突尼斯
106.91,47.93,Ulaanbaatar,乌兰巴托,烏蘭巴托
87.58,43.8,Urumqi,乌鲁木齐市,烏魯木齊市
9.53,47.14,Vaduz,瓦都茲,瓦都茲
179.2,-8.52,Vaiaku,图瓦卢,圖瓦盧
14.52,35.91,Valletta,瓦勒他,瓦勒他
12.46,41.9,Vatican City,梵蒂冈,梵蒂岡
55.45,-4.62,Victoria,维多利亚,維多利亞
16.37,48.22,Vienna,维也纳,維也納
102.61,17.97,Vientiane,万象,萬象
168.31,-17.74,Vila,维拉港,維拉港
25.27,54.7,Vilnius,维尔纽斯,維爾紐斯
21.02,52.26,Warsaw,华沙,華沙
-77.02,38.91,Washington,华盛顿,華盛頓
174.78,-41.28,Wellington,惠灵顿,惠靈頓
-68.93,12.1,Willemstad,威廉斯塔德,威廉斯塔德
17.09,-22.56,Windhoek,文胡克,文胡克
114.27,30.58,Wuhan,武汉市,武漢市
101.77,36.62,Xining,西宁市,西寧市
-5.28,6.82,Yamoussoukro,亚穆苏克罗,亞穆蘇克羅
11.52,3.87,Yaounde,雅温德,雅溫德
166.91,-0.55,Yaren,亚伦,亞倫
44.52,40.17,Yerevan,叶里温,葉里溫
106.32,38.47,Yinchuan,银川市,銀川市
15.97,45.8,Zagreb,萨格勒布,薩格勒布
113.67,34.75,Zhengzhou,郑州市,鄭州市
-13.2,27.16,al-'Ayun,阿云,阿雲
47.99,29.38,al-Kuwayt,科威特,科威特
